"area_code","area_name","date","new_cases","total_cases"
"E09000024","Merton",2020-03-14,6,33
"E09000025","Newham",2020-03-14,4,14
"E09000026","Redbridge",2020-03-14,3,8
"E09000027","Richmond upon Thames",2020-03-14,0,7
"E09000028","Southwark",2020-03-14,10,63
"E09000029","Sutton",2020-03-14,2,14
"E09000030","Tower Hamlets",2020-03-14,3,22
"E09000031","Waltham Forest",2020-03-14,3,11
"E09000032","Wandsworth",2020-03-14,11,53
"E09000033","Westminster",2020-03-14,10,70
"E09000001","City of London",2020-03-15,0,0
"E09000002","Barking and Dagenham",2020-03-15,4,15
"E09000003","Barnet",2020-03-15,10,53
"E09000004","Bexley",2020-03-15,1,21
"E09000005","Brent",2020-03-15,8,47
"E09000006","Bromley",2020-03-15,7,33
"E09000007","Camden",2020-03-15,3,33
"E09000008","Croydon",2020-03-15,7,40
"E09000009","Ealing",2020-03-15,8,39
"E09000010","Enfield",2020-03-15,2,30
"E09000011","Greenwich",2020-03-15,6,27
"E09000012","Hackney",2020-03-15,2,31
"E09000013","Hammersmith and Fulham",2020-03-15,3,29
"E09000014","Haringey",2020-03-15,4,32
"E09000015","Harrow",2020-03-15,6,39
"E09000016","Havering",2020-03-15,5,14
"E09000017","Hillingdon",2020-03-15,5,23
"E09000018","Hounslow",2020-03-15,5,27
"E09000019","Islington",2020-03-15,6,33
"E09000020","Kensington and Chelsea",2020-03-15,1,56
"E09000021","Kingston upon Thames",2020-03-15,2,10
"E09000022","Lambeth",2020-03-15,13,67
"E09000023","Lewisham",2020-03-15,6,29
"E09000024","Merton",2020-03-15,1,34
"E09000025","Newham",2020-03-15,7,21
"E09000026","Redbridge",2020-03-15,5,13
"E09000027","Richmond upon Thames",2020-03-15,2,9
"E09000028","Southwark",2020-03-15,12,75
"E09000029","Sutton",2020-03-15,0,14
"E09000030","Tower Hamlets",2020-03-15,3,25
"E09000031","Waltham Forest",2020-03-15,4,15
"E09000032","Wandsworth",2020-03-15,12,65
"E09000033","Westminster",2020-03-15,5,75
"E09000001","City of London",2020-03-16,0,0
"E09000002","Barking and Dagenham",2020-03-16,4,19
"E09000003","Barnet",2020-03-16,11,64
"E09000004","Bexley",2020-03-16,4,25
"E09000005","Brent",2020-03-16,10,57
"E09000006","Bromley",2020-03-16,6,39
"E09000007","Camden",2020-03-16,3,36
"E09000008","Croydon",2020-03-16,13,53
"E09000009","Ealing",2020-03-16,14,53
"E09000010","Enfield",2020-03-16,2,32
"E09000011","Greenwich",2020-03-16,5,32
"E09000012","Hackney",2020-03-16,6,37
"E09000013","Hammersmith and Fulham",2020-03-16,3,32
"E09000014","Haringey",2020-03-16,2,34
"E09000015","Harrow",2020-03-16,12,51
"E09000016","Havering",2020-03-16,2,16
"E09000017","Hillingdon",2020-03-16,9,32
"E09000018","Hounslow",2020-03-16,9,36
"E09000019","Islington",2020-03-16,5,38
"E09000020","Kensington and Chelsea",2020-03-16,6,62
"E09000021","Kingston upon Thames",2020-03-16,5,15
"E09000022","Lambeth",2020-03-16,16,83
"E09000023","Lewisham",2020-03-16,11,40
"E09000024","Merton",2020-03-16,6,40
"E09000025","Newham",2020-03-16,9,30
"E09000026","Redbridge",2020-03-16,6,19
"E09000027","Richmond upon Thames",2020-03-16,4,13
"E09000028","Southwark",2020-03-16,16,91
"E09000029","Sutton",2020-03-16,3,17
"E09000030","Tower Hamlets",2020-03-16,3,28
"E09000031","Waltham Forest",2020-03-16,2,17
"E09000032","Wandsworth",2020-03-16,13,78
"E09000033","Westminster",2020-03-16,14,89
"E09000001","City of London",2020-03-17,0,0
"E09000002","Barking and Dagenham",2020-03-17,5,24
"E09000003","Barnet",2020-03-17,7,71
"E09000004","Bexley",2020-03-17,6,31
"E09000005","Brent",2020-03-17,23,80
"E09000006","Bromley",2020-03-17,9,48
"E09000007","Camden",2020-03-17,4,40
"E09000008","Croydon",2020-03-17,21,74
"E09000009","Ealing",2020-03-17,9,62
"E09000010","Enfield",2020-03-17,12,44
"E09000011","Greenwich",2020-03-17,14,46
"E09000012","Hackney",2020-03-17,6,43
"E09000013","Hammersmith and Fulham",2020-03-17,8,40
"E09000014","Haringey",2020-03-17,4,38
"E09000015","Harrow",2020-03-17,14,65
"E09000016","Havering",2020-03-17,3,19
"E09000017","Hillingdon",2020-03-17,16,48
"E09000018","Hounslow",2020-03-17,8,44
"E09000019","Islington",2020-03-17,7,45
"E09000020","Kensington and Chelsea",2020-03-17,7,69
"E09000021","Kingston upon Thames",2020-03-17,6,21
"E09000022","Lambeth",2020-03-17,21,104
"E09000023","Lewisham",2020-03-17,8,48
"E09000024","Merton",2020-03-17,10,50
"E09000025","Newham",2020-03-17,5,35
"E09000026","Redbridge",2020-03-17,8,27
"E09000027","Richmond upon Thames",2020-03-17,5,18
"E09000028","Southwark",2020-03-17,19,110
"E09000029","Sutton",2020-03-17,4,21
"E09000030","Tower Hamlets",2020-03-17,6,34
"E09000031","Waltham Forest",2020-03-17,5,22
"E09000032","Wandsworth",2020-03-17,20,98
"E09000033","Westminster",2020-03-17,10,99
"E09000001","City of London",2020-03-18,0,0
"E09000002","Barking and Dagenham",2020-03-18,5,29
"E09000003","Barnet",2020-03-18,14,85
"E09000004","Bexley",2020-03-18,6,37
"E09000005","Brent",2020-03-18,22,102
"E09000006","Bromley",2020-03-18,13,61
"E09000007","Camden",2020-03-18,10,50
"E09000008","Croydon",2020-03-18,15,89
"E09000009","Ealing",2020-03-18,18,80
"E09000010","Enfield",2020-03-18,7,51
"E09000011","Greenwich",2020-03-18,12,58
"E09000012","Hackney",2020-03-18,7,50
"E09000013","Hammersmith and Fulham",2020-03-18,9,49
"E09000014","Haringey",2020-03-18,13,51
"E09000015","Harrow",2020-03-18,23,88
"E09000016","Havering",2020-03-18,11,30
"E09000017","Hillingdon",2020-03-18,5,53
"E09000018","Hounslow",2020-03-18,10,54
"E09000019","Islington",2020-03-18,8,53
"E09000020","Kensington and Chelsea",2020-03-18,8,77
"E09000021","Kingston upon Thames",2020-03-18,2,23
"E09000022","Lambeth",2020-03-18,17,121
"E09000023","Lewisham",2020-03-18,9,57
"E09000024","Merton",2020-03-18,13,63
"E09000025","Newham",2020-03-18,12,47
"E09000026","Redbridge",2020-03-18,12,39
"E09000027","Richmond upon Thames",2020-03-18,5,23
"E09000028","Southwark",2020-03-18,20,130
"E09000029","Sutton",2020-03-18,5,26
"E09000030","Tower Hamlets",2020-03-18,10,44
"E09000031","Waltham Forest",2020-03-18,11,33
"E09000032","Wandsworth",2020-03-18,15,113
"E09000033","Westminster",2020-03-18,9,108
"E09000001","City of London",2020-03-19,0,0
"E09000002","Barking and Dagenham",2020-03-19,4,33
"E09000003","Barnet",2020-03-19,26,111
"E09000004","Bexley",2020-03-19,5,42
"E09000005","Brent",2020-03-19,22,124
"E09000006","Bromley",2020-03-19,6,67
"E09000007","Camden",2020-03-19,5,55
"E09000008","Croydon",2020-03-19,9,98
"E09000009","Ealing",2020-03-19,18,98
"E09000010","Enfield",2020-03-19,15,66
"E09000011","Greenwich",2020-03-19,6,64
"E09000012","Hackney",2020-03-19,6,56
"E09000013","Hammersmith and Fulham",2020-03-19,3,52
"E09000014","Haringey",2020-03-19,10,61
"E09000015","Harrow",2020-03-19,11,99
"E09000016","Havering",2020-03-19,7,37
"E09000017","Hillingdon",2020-03-19,13,66
"E09000018","Hounslow",2020-03-19,13,67
"E09000019","Islington",2020-03-19,9,62
"E09000020","Kensington and Chelsea",2020-03-19,5,82
"E09000021","Kingston upon Thames",2020-03-19,6,29
"E09000022","Lambeth",2020-03-19,22,143
